utilisateur,commentaire,date,service,type_commande,pouce_leve
bernardGUILHEMJO,"martin a été d'une aide précieuse. Disponible, il a répondu à mes attentes concernant mon funnel. Je le recommande sans hésiter.",25 janv. 2025 à 07:05,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
lyes_ihabarchen,"Martin est très professionnel, à l’écoute répond toujours présent, travail très propre",17 janv. 2025 à 12:47,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,Merci !,24 déc. 2024 à 21:12,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,top,10 juil. 2024 à 22:32,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,Merci !,6 juil. 2024 à 23:19,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
Marie_Santos,Commande livrée,4 juil. 2024 à 16:03,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,Top !,4 juil. 2024 à 03:10,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,Merci Martin!,1 juin 2024 à 14:23,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
Flocha21110,"Excellent travail. Je suis très satisfaite du résultat final et de votre professionnalisme tout au long du projet. Votre attention aux détails et votre engagement sont vraiment appréciables. Toutefois, j'ai trouvé que le délai de réalisation était un peu plus long que ce à quoi je m'attendais. Je comprends que des imprévus peuvent survenir, mais peut-être pourrions-nous envisager une meilleure gestion du temps et une plus grande réactivité pour d'éventuels futurs projets. Merci encore pour votre travail.",27 mai 2024 à 07:39,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,Merci pour la réactivité martin !,16 avr. 2024 à 14:10,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,Merci,26 mars 2024 à 00:23,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,Deuxième projet avec Martin ! Le résultat est excellent !,20 févr. 2024 à 08:31,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,Super Martin est réactif et cherche des solutions ; je suis pleinement satisfait de son intervention pour la création de mon espace membre sur Kajabi,13 févr. 2024 à 19:36,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
Flocha21110,Parfait pour une 1ère commande.,30 déc. 2023 à 09:03,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
SAFWANE6978,"Très bon service de Martin, très disponible pour mes questions. Je suis très satisfait !!",21 janv. 2023 à 15:44,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
gelly,De l'excellent travailler comme d'habitude avec martin qui fait un travail remarquable et conseiller pour travailler en confiance bravo et merci,16 janv. 2023 à 11:53,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
Loth,"Bonsoir, Création très satisfaisante de ma page de vente commandée. Délai rapide en moins de 24 h. Monsieur Martin a toujours à coeur de bien rendre son travail bien fait avec ponctualité et indications. C'est le troisième travail que je lui commande et un autre est encore prévu demain. Il y a tant et tant à faire, et à apprendre. çà se fera à mesure pour moi, et surtout en confiance. Souhaitant que les futurs clients découvrent les qualités de ce vendeur. Bien cordialement.",29 juin 2022 à 22:15,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
samateliersynerg,Très satisfait de ce servive. Le travail est rapidement réalisé et très bien expliqué. Merci pour ce service,7 janv. 2022 à 12:53,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
Walidlemoniteur,Merci du travail ! serieux !,4 avr. 2024 à 09:17,https://comeup.com/fr/service/225926/creer-votre-boutique-shopify-cle-en-main,COMMANDE PERSONNALISÉE,Oui
Margauxmulero,Ce n’est pas la première que je fais appel à cette personne je suis toujours autant satisfaite je recommande fortement,4 mars 2024 à 12:21,https://comeup.com/fr/service/225926/creer-votre-boutique-shopify-cle-en-main,COMMANDE PERSONNALISÉE,Oui
GillesBusiness,Parfait !,27 nov. 2023 à 08:07,https://comeup.com/fr/service/225926/creer-votre-boutique-shopify-cle-en-main,COMMANDE PERSONNALISÉE,Oui
GillesBusiness,👌🏾👌🏾,24 nov. 2023 à 06:56,https://comeup.com/fr/service/225926/creer-votre-boutique-shopify-cle-en-main,COMMANDE PERSONNALISÉE,Oui
michel26262626,"Toujours au top, il est vraiment super sérieux et professionnel. Je le conseil à tout le monde.",18 juil. 2023 à 12:36,https://comeup.com/fr/service/225926/creer-votre-boutique-shopify-cle-en-main,COMMANDE PERSONNALISÉE,Oui
S_E_L,"Merci pour votre professionnalisme. C'était vraiment une très bonne expérience de travail, je compte bien travailler à nouveau avec vous. Patient, organisé et à l'écoute, c'est très rare. Encore merci à vous Martin. Très bonne continuation",24 nov. 2022 à 20:13,https://comeup.com/fr/service/225926/creer-votre-boutique-shopify-cle-en-main,COMMANDE PERSONNALISÉE,Oui
Osman_Pakii,"Merci beaucoup très très satisfait de l'aide de Martin, c'est un boss rien à dire. JE RECOMMANDE FORTEMENT SON SERVICE DE QUALITÉ!!!",15 nov. 2022 à 13:05,https://comeup.com/fr/service/225926/creer-votre-boutique-shopify-cle-en-main,COMMANDE PERSONNALISÉE,Oui
kev1,Très bien comme dab,9 juil. 2022 à 17:43,https://comeup.com/fr/service/225926/creer-votre-boutique-shopify-cle-en-main,COMMANDE PERSONNALISÉE,Oui
Noram,"C'est parfait, très bon travail. Merci.",4 juil. 2022 à 14:01,https://comeup.com/fr/service/225926/creer-votre-boutique-shopify-cle-en-main,COMMANDE PERSONNALISÉE,Oui
Loth,"Bonjour, Aujourd'hui, un très grand jour TEST pour moi. 1°. La page de commande réalisée est validée par un achat. 2°. J'ai découvert où lire les notifications et montant de paiements et les mails réceptionnés pour moi par Système IO. 3°. J'ai été soulagée de savoir que l'auteur a envoyé en automatique la formation commandée. Rien à faire pour moi. Même pas la page de remerciement. Test validé à 100%. Et le PIRE , c'est que la veille en relisant mes tunnels, j'avais désactivé ma formation, sans m'en rendre compte. Mr Martin, le soir même, s'en est aussitôt aperçu et il a tout remis en place SANS que je lui demande rien. J'étais très embarrassé pour formuler cette demande. JE VOUS LAISSE CONCLURE Excellente réactivité dans le travail travail rapide Efficacité : accepte de faire les tests pour mon apprentissage et ma sérénité. Excellente ponctualité dans les rendez vous et les échanges aussitôt suivis de réponses. Souci du travail bien bien fait + EGARDS et Patience envers les personnes débutantes. J'arrête là pour avoir de quoi étoffer mes prochaines notifications de satisfactions. Bien cordialement.",1 juil. 2022 à 14:21,https://comeup.com/fr/service/225926/creer-votre-boutique-shopify-cle-en-main,COMMANDE PERSONNALISÉE,Oui
afranyannickloba,pas mal,23 juin 2022 à 13:02,https://comeup.com/fr/service/225926/creer-votre-boutique-shopify-cle-en-main,COMMANDE PERSONNALISÉE,Oui
SambaLiss,Au top je reçois très efficace et à écoute merci,17 déc. 2021 à 20:53,https://comeup.com/fr/service/225926/creer-votre-boutique-shopify-cle-en-main,COMMANDE PERSONNALISÉE,Oui
Lokapart,Bon travail de référencement de mon site. Je recommande,2 avr. 2025 à 13:15,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
KevinThea,Merci pour le tunnel !,13 nov. 2024 à 18:18,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
Rabih_00,"Très satisfait du travail, du professionnalisme et de l'accessibilité de Martin",11 oct. 2024 à 08:40,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
EtienneGaulupeau,Merci,8 sept. 2024 à 11:07,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
ThierryP,"Néo-Médias (Martin) est toujours compétent, travail professionnel de qualité et rapide que je recommande :-)",16 août 2024 à 12:42,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
KevinThea,Top,26 juil. 2024 à 03:08,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
Aime_JR,"Très bien, merci bien.",2 juil. 2024 à 21:36,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
RegisM,Super accompagnement. Merci bcp Martin ! Je recommande vivement !,1 juil. 2024 à 19:17,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
Fondation_FMM,Bon travail! Patient et communique clairement. Je recommande,21 juin 2024 à 16:40,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
KevinThea,Top,9 avr. 2024 à 23:37,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
SamPosters,"Je recommande vivement ! Martin est très professionnel, temps de livraison rapide, de très bonnes explications, de l’excellent travail !",9 mars 2024 à 20:11,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
Aime_JR,"Très bien, c'est parfait.",28 févr. 2024 à 19:20,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
Lyd_M,"Merci pour vos services et pour être toujours à l’écoute, prestataire très compétant!",26 févr. 2024 à 20:22,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
RegisM,Complément SEO très bien réalisé par MARTIN dans un temps record; Martin que je remercie encore pour la qualité de son travail ! Bravo !,21 févr. 2024 à 19:40,https://comeup.com/fr/service/236434/faire-loptimisation-seo-et-ameliorer-le-referencement-naturel-seo-de-votre-site-internet,COMMANDE PERSONNALISÉE,Oui
LAtelierEn3D,Le travail réalisé correspond à ma demande,21 juil. 2024 à 13:20,https://comeup.com/fr/service/224625/creer-votre-boutique-en-ligne-ou-site-e-commerce-avec-woocommerce-et-wordpress,COMMANDE PERSONNALISÉE,Oui
LaurentBonnard,Personne sérieux au top très minutieux et comprend bien le bessoin du client,17 mai 2024 à 20:10,https://comeup.com/fr/service/224625/creer-votre-boutique-en-ligne-ou-site-e-commerce-avec-woocommerce-et-wordpress,COMMANDE PERSONNALISÉE,Oui
Margauxmulero,"Je suis de nouveau satisfaite, personne qui explique très bien je recommande totalement merci encore",26 févr. 2024 à 18:42,https://comeup.com/fr/service/224625/creer-votre-boutique-en-ligne-ou-site-e-commerce-avec-woocommerce-et-wordpress,COMMANDE PERSONNALISÉE,Oui
Margauxmulero,Très professionnel je recommande,24 févr. 2024 à 10:30,https://comeup.com/fr/service/224625/creer-votre-boutique-en-ligne-ou-site-e-commerce-avec-woocommerce-et-wordpress,COMMANDE PERSONNALISÉE,Oui
eventgraph,Merci beaucoup à martin il à été très réactif et à l'écoute. Son travail est de haute qualité et fait rapidement. Je recommande,4 déc. 2023 à 20:46,https://comeup.com/fr/service/224625/creer-votre-boutique-en-ligne-ou-site-e-commerce-avec-woocommerce-et-wordpress,COMMANDE PERSONNALISÉE,Oui
dialloahmed,C’est le 2e service et Martin est toujours aussi rapide et efficace. Je reviendrai et je recommande ses services à vous tous qui passez par ici,30 nov. 2023 à 00:07,https://comeup.com/fr/service/224625/creer-votre-boutique-en-ligne-ou-site-e-commerce-avec-woocommerce-et-wordpress,COMMANDE PERSONNALISÉE,Oui
MaximeFsr,Parfait,19 oct. 2023 à 11:54,https://comeup.com/fr/service/224625/creer-votre-boutique-en-ligne-ou-site-e-commerce-avec-woocommerce-et-wordpress,COMMANDE PERSONNALISÉE,Oui
Bilel_lyon,Merci à Martin excellent travail,13 oct. 2023 à 08:50,https://comeup.com/fr/service/224625/creer-votre-boutique-en-ligne-ou-site-e-commerce-avec-woocommerce-et-wordpress,COMMANDE PERSONNALISÉE,Oui
Goderon,"Martin JS a effectué un travail sérieux, il était à l'écoute et il a fait tout son possible pour me satisfaire.",13 août 2023 à 14:28,https://comeup.com/fr/service/224625/creer-votre-boutique-en-ligne-ou-site-e-commerce-avec-woocommerce-et-wordpress,COMMANDE PERSONNALISÉE,Oui
senaddzudzevic,"Très bonne réalisation, je suis très satisfait.",3 août 2023 à 09:22,https://comeup.com/fr/service/224625/creer-votre-boutique-en-ligne-ou-site-e-commerce-avec-woocommerce-et-wordpress,COMMANDE PERSONNALISÉE,Oui
Goderon,"Martin JS m'a fait deux propositions rapidemment, j'ai pu faire mon choix il n'a pas été nécéssaire de faire des demandes de changement sur le logo.",6 juil. 2023 à 18:22,https://comeup.com/fr/service/224625/creer-votre-boutique-en-ligne-ou-site-e-commerce-avec-woocommerce-et-wordpress,COMMANDE PERSONNALISÉE,Oui
GabrielSoussan,Très bien merci.,26 juin 2023 à 11:04,https://comeup.com/fr/service/224625/creer-votre-boutique-en-ligne-ou-site-e-commerce-avec-woocommerce-et-wordpress,COMMANDE PERSONNALISÉE,Oui
